code,name,is_etf
000926,福星股份,False
000927,中国铁物,False
000928,中钢国际,False
000930,中粮科技,False
000931,中关村,False
000932,华菱钢铁,False
000933,神火股份,False
000935,四川双马,False
000936,华西股份,False
000937,冀中能源,False
000938,紫光股份,False
000939,凯迪退,False
000948,南天信息,False
000949,新乡化纤,False
000950,重药控股,False
000951,中国重汽,False
000952,广济药业,False
000953,河化股份,False
000955,欣龙控股,False
000956,中原油气,False
000957,中通客车,False
000958,电投产融,False
000959,首钢股份,False
000960,锡业股份,False
000962,东方钽业,False
000963,华东医药,False
000965,天保基建,False
000966,长源电力,False
000967,盈峰环境,False
000968,蓝焰控股,False
000969,安泰科技,False
000970,中科三环,False
000973,佛塑科技,False
000975,山金国际,False
000977,浪潮信息,False
000978,桂林旅游,False
000979,中弘退,False
000980,众泰汽车,False
000981,山子高科,False
000982,中银绒业,False
000983,山西焦煤,False
000985,大庆华科,False
000987,越秀资本,False
000988,华工科技,False
000989,九芝堂,False
000990,诚志股份,False
000993,闽东电力,False
000995,皇台酒业,False
000996,中期退,False
000997,新大陆,False
000998,隆平高科,False
000999,华润三九,False
001201,东瑞股份,False
001202,炬申股份,False
001203,大中矿业,False
001205,盛航股份,False
001206,依依股份,False
001207,联科科技,False
001208,华菱线缆,False
001209,洪兴股份,False
001210,金房能源,False
001211,双枪科技,False
001212,中旗新材,False
001213,中铁特货,False
001215,千味央厨,False
001216,华瓷股份,False
001217,华尔泰,False
001218,丽臣实业,False
001219,青岛食品,False
001220,世盟股份,False
001221,悍高集团,False
001222,源飞宠物,False
001223,欧克科技,False
001225,和泰机电,False
001226,拓山重工,False
001227,兰州银行,False
001228,永泰运,False
001229,魅视科技,False
001230,劲旅环境,False
001231,农心科技,False
001233,海安集团,False
001234,泰慕士,False
001236,弘业期货,False
001238,浙江正特,False
001239,永达股份,False
001255,博菲电气,False
001256,炜冈科技,False
001258,立新能源,False
001259,利仁科技,False
001260,坤泰股份,False
001266,宏英智能,False
001267,汇绿生态,False
001268,联合精密,False
001269,欧晶科技,False
001277,速达股份,False
001278,一彬科技,False
001279,强邦新材,False
001280,中国铀业,False
001282,三联锻造,False
001283,豪鹏科技,False
001285,瑞立科密,False
001286,陕西能源,False
001287,中电港,False
001288,运机集团,False
001289,龙源电力,False
001296,长江材料,False
001298,好上好,False
001299,美能能源,False
001300,三柏硕,False
001301,尚太科技,False
001306,夏厦精密,False
001308,康冠科技,False
001309,德明利,False
001311,多利科技,False
001313,粤海饲料,False
001314,亿道信息,False
001316,润贝航科,False
001317,三羊马,False
001318,阳光乳业,False
001319,铭科精技,False
001322,箭牌家居,False
001323,慕思股份,False
001324,长青科技,False
001325,元创股份,False
001326,联域股份,False
001328,登康口腔,False
001330,博纳影业,False
001331,胜通能源,False
001332,锡装股份,False
001333,光华股份,False
001335,信凯科技,False
001336,楚环科技,False
001337,四川黄金,False
001338,永顺泰,False
001339,智微智能,False
001356,富岭股份,False
001358,兴欣新材,False
001359,平安电工,False
001360,南矿集团,False
001366,播恩集团,False
001367,海森药业,False
001368,通达创智,False
001369,双欣环保,False
001373,翔腾新材,False
001376,百通能源,False
001378,德冠新材,False
001379,腾达科技,False
001380,华纬科技,False
001382,新亚电缆,False
001386,马可波罗,False
001387,雪祺电气,False
001388,信通电子,False
001389,广合科技,False
001390,古麒绒材,False
001391,国货航,False
001395,亚联机械,False
001396,誉帆科技,False
001400,江顺科技,False
001696,宗申动力,False
001872,招商港口,False
001896,豫能控股,False
001914,招商积余,False
001965,招商公路,False
001979,招商蛇口,False
002001,新和成,False
002003,伟星股份,False
002004,华邦健康,False
002006,精工科技,False
002007,华兰生物,False
002008,大族激光,False
002009,天奇股份,False
002010,传化智联,False
002011,盾安环境,False
002012,凯恩股份,False
002013,中航机电,False
002014,永新股份,False
002015,协鑫能科,False
002016,世荣兆业,False
002017,东信和平,False
002018,华信退,False
002019,亿帆医药,False
002020,京新药业,False
002021,中捷资源,False
002022,科华生物,False
002023,海特高新,False
002025,航天电器,False
002026,山东威达,False
002027,分众传媒,False
002028,思源电气,False
002029,七匹狼,False
002030,达安基因,False
002031,巨轮智能,False
002032,苏泊尔,False
002033,丽江股份,False
002034,旺能环境,False
002035,华帝股份,False
002036,联创电子,False
002037,保利联合,False
002038,双鹭药业,False
002039,黔源电力,False
002040,南京港,False
002041,登海种业,False
002042,华孚时尚,False
002043,兔宝宝,False
002044,美年健康,False
002045,国光电器,False
002046,国机精工,False
002048,宁波华翔,False
002049,紫光国微,False
002050,三花智控,False
002051,中工国际,False
002052,同洲电子,False
002053,云南能投,False
002054,德美化工,False
002056,横店东磁,False
002057,中钢天源,False
002059,云南旅游,False
002060,广东建工,False
002061,浙江交科,False
002062,宏润建设,False
002063,远光软件,False
002064,华峰化学,False
002065,东华软件,False
002066,瑞泰科技,False
002067,景兴纸业,False
002068,黑猫股份,False
002069,獐子岛,False
002070,众和退,False
002071,长城退,False
002072,凯瑞德,False
002073,软控股份,False
002074,国轩高科,False
002075,沙钢股份,False
002077,大港股份,False
